PR_65_52_00_00    PIPELINES
PR_65_65_00_00.4020    DUCTWORK SUPPORTS:
PR_65_65_00_00.4025    COMPONENT SUPPORT ON PRE-INSULATED ALUMINIUM DUCTWORK:
PR_65_65_00_00.4030A    DUCT SUPPORT FOR VAPOUR SEAL CONTINUITY:
PR_65_65_00_00.4040    EXTERNAL DUCTWORK SUPPORT:
PR_65_65_00_00.4050    DUCTWORK FLOOR SUPPORT:
PR_65_65_00_00.4060    DRAINAGE OF DUCTWORK:
PR_65_65_00_00.4070A    CONNECTIONS TO BUILDERS WORK - METAL DUCTWORK:
PR_65_65_00_00.4090A    INTERNAL CLEANLINESS - LEVEL 1:
PR_65_65_00_00.4100A    WEATHERPROOFING:
PR_65_65_00_00.4110B    DUCTWORK SLEEVES WITH FLANGES:
PR_65_65_00_00.4120    FIRE RATED DUCTWORK SLEEVES:
PR_65_65_00_00.4130    INSTALLATION OF CONTROL EQUIPMENT:
PR_65_65_00_00.4140    INSTRUMENT CONNECTIONS:
PR_65_65_00_00.4150    FIRE PRECAUTIONS:
PR_65_65_00_00.4160    DAMPER ACCESS:
PR_65_65_00_00.4170    POSITIONING:
PR_60_65_03_00    AIR HANDLING UNITS
PR_60_65_03_00.1000    GENERAL
PR_60_65_03_00.1010A    AIR LEAKAGE:
PR_60_65_03_00.1010B    AIR LEAKAGE:
PR_60_65_03_00.1010C    AIR LEAKAGE - FILTER BYPASS:
PR_60_65_03_00.2020B    MANUFACTURER'S STANDARD DOUBLE SKIN CASING AIR HANDLING UNITS:
PR_60_65_03_00.2030A    AIR HANDLING UNIT CONSTRUCTION:
PR_60_65_03_00.2040A    AIR HANDLING UNIT ACCESS:
PR_60_65_03_00.2050A    WALK-IN AIR HANDLING UNITS:
PR_60_65_03_00.2060A    EXTERNAL AIR HANDLING UNITS:
PR_60_65_03_00.3010A    FAN SECTION:
PR_60_65_03_00.3020    FILTER SECTION:
PR_60_65_03_00.3030    HEATER BATTERIES:
PR_60_65_03_00.3040    COOLING COIL SECTION:
PR_60_65_03_00.3050A    DRAINAGE FROM AIR HANDLING UNIT COMPONENTS:
PR_60_65_03_00.3060A    CONTROL DAMPERS:
PR_60_65_03_00.4010A    COMPONENT ASSEMBLY:
PR_60_65_03_00.4020    ACCESS:
PR_60_65_03_00.4030    HUMIDIFIER INSTALLATION:
PR_60_65_03_00.4040    DUCT CONNECTIONS:
PR_60_65_03_00.4050    SERVICES CONNECTIONS:
PR_60_65_03_00.4060    ISOLATION OF UNITS:
PR_60_65_03_00.4070    DRAINAGE OF FREE WATER:
PR_65_67_29_00    FANS
PR_65_67_29_00.1000    GENERAL
PR_65_67_29_00.2010A    NORMAL OPERATING CONDITIONS WITH CIBSE NOISE REQUIREMENTS
PR_65_67_29_00.2010B    POTENTIALLY EXPLOSIVE ATMOSPHERES
PR_65_67_29_00.2020A    CONSTRUCTION AND HANDLING:
PR_65_67_29_00.2030    TESTING:
PR_65_67_29_00.2050A    MATERIALS, GALVANIZED SHEET STEEL:
PR_65_67_29_00.2070A    AXIAL FLOW FANS
PR_65_67_29_00.2070B    BIFURCATED AXIAL FLOW FANS:
PR_65_67_29_00.2080A    SINGLE INLET SINGLE WIDTH CENTRIFUGAL FANS:
PR_65_67_29_00.2080C    DOUBLE INLET DOUBLE WIDTH CENTRIFUGAL FANS:
PR_65_67_29_00.2090A    PROPELLER FANS:
PR_65_67_29_00.2100A    MIXED FLOW FANS:
PR_65_67_29_00.2120A    IN LINE SINGLE FANS:
PR_65_67_29_00.2120B    IN LINE TWIN FANS:
PR_65_67_29_00.3010    INSPECTION DOORS - AXIAL FANS:
PR_65_67_29_00.3020    INSPECTION DOORS - CENTRIFUGAL FANS:
PR_65_67_29_00.3030    INSPECTION DOORS - PROPELLER FANS:
PR_65_67_29_00.3040    INSPECTION DOORS - MIXED FLOW FANS:
PR_65_67_29_00.3050A    GUARDS:
PR_65_67_29_00.3100A    SHUTTERS:
PR_65_67_29_00.3110    AIR FLOW SENSORS:
PR_65_67_29_00.3120A    ACCESS:
PR_65_67_29_00.3130    MOUNTING:
PR_65_67_29_00.3140    SPEED CONTROLLER:
PR_65_67_29_00.4010    LOCATION:
PR_65_67_29_00.4020    ATTITUDE:
PR_65_67_29_00.4030    ALIGNMENT:
PR_65_67_29_00.4040    TESTING:
PR_65_67_29_00.4050    DRAIN CONNECTION:
PR_65_57_02_00    AIR FILTRATION
PR_65_57_02_00.1000    GENERAL
PR_65_57_02_00.1010            PRESSURE LOSS DATA:
PR_65_57_02_00.1020        AIR FLOW THROUGH MEDIA:
PR_65_57_02_00.1030        SEALS:
PR_65_57_02_00.2010A    CASINGS WITH BOLTS, NUTS AND WASHERS FIXING:
PR_65_57_02_00.2010B    CASINGS WITH CAPTIVE NUTS OR TAPPED HOLES FIXING:
PR_65_57_02_00.2010C    CASINGS WITH CLIPS:
PR_65_57_02_00.2020A    FILTER TESTING TO BS EN 779
PR_65_57_02_00.2040A    PANEL FILTERS, CARDBOARD FRAME:
PR_65_57_02_00.2050A    BAG FILTERS:
PR_65_57_02_00.2080A    ACTIVATED CARBON FILTERS:
PR_65_57_02_00.3010B    PRESSURE GAUGE, INCLINED MANOMETER:
PR_65_57_02_00.3010C    PRESSURE GAUGE, PRESSURE DIFFERENTIAL SWITCH:
PR_65_57_02_00.3020    FILTER HOUSING:
PR_65_57_02_00.3050    SPARES:
PR_65_57_02_00.3060    CLEANING:
PR_65_57_02_00.4010    LOCATION: ASSEMBLE FILTER IN LOCATION INDICATED.
PR_65_57_02_00.4020A    ACCESS FOR MAINTENANCE:
PR_60_65_37_00    HEATING/COOLING COILS
PR_60_65_37_00.1000    GENERAL
PR_60_65_37_00.2010A    HOT WATER HEATING COILS, COPPER WITH ALUMINIUM FINS:
PR_60_65_37_00.2010D    CHILLED WATER COOLING COILS, COPPER WITH ALUMINIUM FINS:
PR_60_65_37_00.3010    DRIP TRAYS:
PR_60_65_37_00.3020A    GLASS DRAIN TRAPS UNDER SUCTION:
PR_60_65_37_00.3020B    GLASS DRAIN TRAPS UNDER PRESSURE:
PR_60_65_37_00.3030    ELIMINATOR PLATES:
PR_60_65_37_00.3040    MOUNTING FRAME:
PR_60_65_37_00.3050A    AHU DUCT CONNECTIONS:
PR_60_65_37_00.3050B    EXTERNAL FLANGE DUCT CONNECTIONS:
PR_60_65_37_00.3050C    INTERNAL FLANGE DUCT CONNECTIONS
PR_60_65_37_00.3050D    SPIGOT DUCT CONNECTIONS:
PR_60_65_37_00.3060    MATCHING FLANGES - DUCTWORK:
PR_60_65_37_00.3070    MATCHING FLANGES - PIPEWORK:
PR_60_65_37_00.3080    ANTI-FREEZE THERMOSTAT:
PR_60_65_37_00.3090    AUTO AIR PURGING VALVE:
PR_60_65_37_00.3100    ACCESS DOORS:
PR_60_65_37_00.3110    ACCESS WALKWAY:
PR_60_65_37_00.4010    POSITION/LOCATION:
PR_60_65_37_00.4020A    COOLING COIL CONNECTIONS:
PR_60_65_37_00.4020B    HEATING COIL CONNECTIONS:
PR_60_65_37_00.4030    COIL SUPPORT:
PR_60_65_37_00.4040    PROTECTION:
PR_60_65_37_00.4050    EQUIPMENT INSTALLATION:
PR_65_67_78_00    SILENCERS/ACOUSTIC TREATMENT
PR_65_67_78_00.1000    GENERAL
PR_65_67_78_00.1010            PERFORMANCE:
PR_65_67_78_00.1020        TESTING:
PR_65_67_78_00.1030        PROTECTION:
PR_65_67_78_00.1040        DIRECTION OF FLOW:
PR_65_67_78_00.2010A    FIRE PROPERTIES, BS 476-7, CLASS 1:
PR_65_67_78_00.2010B    FIRE PROPERTIES, BUILDING REGULATIONS, CLASS O:
PR_65_67_78_00.2040A    RECTANGULAR SILENCERS - CASING TO DW144 WITH CONNECTIONS TO MATCH AHU:
PR_65_67_78_00.2040B    RECTANGULAR SILENCERS - CASING TO DW144 WITH EXTERNAL FLANGES:
PR_65_67_78_00.2040C    RECTANGULAR SILENCERS - CASING TO DW144 WITH INTERNAL FLANGES:
PR_65_67_78_00.3010    GENERAL:
PR_65_67_78_00.3040    SUPPORTS:
PR_65_67_78_00.3060    SOUND PRESSURE LEVEL READINGS:
PR_65_67_78_00.3070    MEASURE SOUND INSULATION OF BUILDING ELEMENTS IN ACCORDANCE
PR_70_65_04_00    GRILLES/DIFFUSERS/LOUVRES
PR_70_65_04_00.1000    GENERAL
PR_70_65_04_00.1010            PERFORMANCE:
PR_70_65_04_00.1020        SIZE:
PR_70_65_04_00.1030        NOISE LEVELS:
PR_70_65_04_00.1033        PROTECTIVE WRAPPING:
PR_70_65_04_00.2010A    GRILLES - FIXED BLADE TYPE:
PR_70_65_04_00.2020A    GRILLES - ADJUSTABLE BLADE TYPE:
PR_70_65_04_00.2030A    GRILLES - MESH TYPE:
PR_70_65_04_00.2040A    GRILLES - EGG-CRATE TYPE:
PR_70_65_04_00.2050A    GRILLES - LINEAR TYPE:
PR_70_65_04_00.2080A    CONE TYPE CIRCULAR DIFFUSERS:
PR_70_65_04_00.2080B    PAN TYPE CIRCULAR DIFFUSERS:
PR_70_65_04_00.2080C    CIRCULAR DIFFUSERS - CORE ADJUSTMENT:
PR_70_65_04_00.2090A    DIFFUSERS - LINEAR TYPE:
PR_70_65_04_00.2100    DIFFUSERS - PERFORATED FACE TYPE:
PR_70_65_04_00.2110A    ADJUSTABLE CURVED BLADE DIFFUSER:
PR_70_65_04_00.2120A    ADJUSTABLE CURVED BLADE DIFFUSER WITH REMOVABLE INNER CORE:
PR_70_65_04_00.2130A    STRAIGHT LINE, FIXED LOUVRE DIFFUSER WITH FIXED CORE:
PR_70_65_04_00.2130B    STRAIGHT LINE, FIXED LOUVRE DIFFUSER WITH REMOVABLE CORE:
PR_70_65_04_00.2140A    SPHERICAL PUNKAH LOUVRE DIFFUSERS:
PR_70_65_04_00.2140B    DRUM PUNKAH LOUVRE DIFFUSERS:
PR_70_65_04_00.2150    DIFFUSERS - LINEAR LIGHTING/AIR MODULAR TYPE:
PR_70_65_04_00.2180    DIFFUSERS - EXTRACT/EXHAUST VALVE TYPE:
PR_70_65_04_00.2190A    LOUVRES - EXTERNAL AIR SUPPLY/EXTRACT TYPE:
PR_70_65_04_00.2210A    GALVANISED STEEL:
PR_70_65_04_00.2210B    ALUMINIUM:
PR_70_65_04_00.2210C    STAINLESS STEEL:
PR_70_65_04_00.2220A    GRILLE AND DIFFUSER CONSTRUCTION:
PR_70_65_04_00.2230A    LOUVRE CONSTRUCTION:
PR_70_65_04_00.3010A    OPPOSED BLADE VOLUME CONTROL DAMPERS - LOCAL CONTROL:
PR_70_65_04_00.3010B    OPPOSED BLADE VOLUME CONTROL DAMPERS - REMOTE CONTROL:
PR_70_65_04_00.3030A    ANNULAR RING VOLUME CONTROL DAMPERS:
PR_70_65_04_00.3040A    BUTTERFLY VOLUME CONTROL DAMPERS:
PR_70_65_04_00.3050A    "IRIS" VOLUME CONTROL DAMPERS:
PR_70_65_04_00.3060A    FIXED AIR FLOW DEFLECTORS:
PR_70_65_04_00.3060B    ADJUSTABLE AIR FLOW DEFLECTORS:
PR_70_65_04_00.3070    BLANKING PLATES:
PR_70_65_04_00.3090    PERFORATED SCREENS:
PR_70_65_04_00.3100    CEILING OR WALL MOUNTED PLENUM BOXES:
PR_70_65_04_00.3110    FLOOR MOUNTED PLENUM BOXES:
PR_70_65_04_00.3120A    HINGED LOUVRE ACCESS PANELS AND DOORS:
PR_70_65_04_00.3120B    LIFT OUT LOUVRE ACCESS PANELS AND DOORS:
PR_70_65_04_00.3130    SPARES:
PR_70_65_04_00.3140A    OPPOSED BLADE VOLUME CONTROL DAMPERS - LOCAL BLADE OPERATION:
PR_70_65_04_00.3140B    OPPOSED BLADE VOLUME CONTROL DAMPERS - REMOTE BLADE OPERATION:
PR_70_65_04_00.3150A    BUTTERFLY VOLUME CONTROL DAMPERS:
PR_70_65_04_00.3160A    "IRIS" VOLUME CONTROL DAMPERS:
PR_70_65_04_00.4010    GRILLE/DIFFUSER LOCATION:
PR_70_65_04_00.4020    LOUVRE LOCATION:
PR_70_65_04_00.4030    ACCESSORIES:
PR_25_31_48_00.1034    PROTECTION APPLIED IN SITU:
PR_70_65_04_00.4040    CONNECTION TO DUCTWORK:
PR_70_65_04_00.4050A    INSTALLATION IN BUILDERS WORK:
PR_70_65_04_00.4060A    TRANSFER GRILLES:
PR_70_65_04_00.4060B    TRANSFER GRILLES WITH FIRE DAMPER:
PR_25_31_48_00    THERMAL INSULATION
PR_25_31_48_00.1000    GENERAL
PR_25_31_48_00.1010            TEMPERATURE RANGE:
PR_25_31_48_00.1020        STANDARDS:
PR_25_31_48_00.1030        MATERIALS:
PR_25_31_48_00.1032        PRE-INSULATED EQUIPMENT:
PR_25_31_48_00.1035A    CLASS A1 EUROPEAN CLASSIFICATION FOR REACTION TO FIRE PERFORMANCE:
PR_25_31_48_00.1035B    CLASS A2 EUROPEAN CLASSIFICATION FOR REACTION TO FIRE PERFORMANCE:
PR_25_31_48_00.1035C    CLASS B EUROPEAN CLASSIFICATION FOR REACTION TO FIRE PERFORMANCE:
PR_25_31_48_00.1035D    CLASS C EUROPEAN CLASSIFICATION FOR REACTION TO FIRE PERFORMANCE:
PR_25_31_48_00.1050A    SPREAD OF FLAME:
PR_25_31_48_00.1055A    SMOKE EMISSION CHARACTERISTICS:
PR_25_31_48_00.1080    ELECTRICAL BONDING TERMINAL:
PR_25_31_48_00.1090    INSPECTION AND TESTING:
PR_25_31_48_00.2010    THERMAL CONDUCTIVITY:
PR_25_31_48_00.2015A    THERMAL PERFORMANCE LIFE EXPECTANCY FOR PLANT DESIGN LIFE:
PR_25_31_48_00.2015B    THERMAL PERFORMANCE LIFE EXPECTANCY DETAILS:
PR_25_31_48_00.2020    RESTRICTIONS ON USE OF MATERIALS:
PR_25_31_48_00.2030A    FOIL FACED MINERAL FIBRE PIPE INSULATION:
PR_25_31_48_00.2030B    CANVAS COVERED MINERAL FIBRE PIPE INSULATION:
PR_25_31_48_00.2030C    FOIL FACED GLASS FIBRE PIPE INSULATION: 
PR_25_31_48_00.2040A    FOIL FACED ROCK MINERAL FIBRE RIGID DUCT INSULATION: 
PR_25_31_48_00.2050A    FOIL FACED ROCK MINERAL FIBRE FLEXIBLE DUCT INSULATION: 
PR_25_31_48_00.2060A    FOIL FACED ROCK MINERAL FIBRE LAMELLA DUCT INSULATION: 
PR_25_31_48_00.2060B    KRAFT PAPER FACED ROCK MINERAL FIBRE LAMELLA DUCT INSULATION: 
PR_25_31_48_00.2065    CRIMPED MAT DUCT INSULATION: 
PR_25_31_48_00.2070A    GALVANIZED METAL MESH ON MINERAL FIBRE MATTRESSES - ONE FACE: 
PR_25_31_48_00.2070B    GALVANIZED METAL MESH ON MINERAL FIBRE MATTRESSES - BOTH FACES: 
PR_25_31_48_00.2070C    STAINLESS STEEL MESH ON MINERAL FIBRE MATTRESSES - ONE FACE: 
PR_25_31_48_00.2070D    STAINLESS STEEL MESH ON MINERAL FIBRE MATTRESSES - BOTH FACES: 
PR_25_31_48_00.2080A    FLAT DUCTWORK FIRE PROTECTION INSULATION - MITRED JOINTS: 
PR_25_31_48_00.2080B    FLAT DUCTWORK FIRE PROTECTION INSULATION - BUTTED JOINTS: 
PR_25_31_48_00.2080C    CIRCULAR DUCTWORK FIRE PROTECTION INSULATION - SECTION: 
PR_25_31_48_00.2080D    CIRCULAR DUCTWORK FIRE PROTECTION INSULATION - PSM: 
PR_25_31_48_00.2080E    CIRCULAR DUCTWORK FIRE PROTECTION INSULATION - FLEXIBLE MAT: 
PR_25_31_48_00.2110A    FOIL FACED CLOSED CELL RIGID PHENOLIC FOAM (PF) PREFORMED SECTIONS - CFC AND HCFC FREE:
PR_25_31_48_00.2110B    CLOSED CELL RIGID PHENOLIC FOAM (PF) PREFORMED SECTIONS - CFC AND HCFC FREE:
PR_25_31_48_00.2120A    FOIL FACED CLOSED CELL RIGID LAMINATED PHENOLIC FOAM (PF), DUCT INSULATION SLAB - CFC AND HCFC FREE:
PR_25_31_48_00.2120B    CLOSED CELL RIGID LAMINATED PHENOLIC FOAM (PF), DUCT INSULATION SLAB - CFC AND HCFC FREE:
PR_25_31_48_00.2130A    HIGH DENSITY PHENOLIC PIPE AND DUCT SUPPORT FOAM:
PR_25_31_48_00.2140A    CLOSED CELL NITRILE RUBBER ELASTOMERIC SHEET AND PREFORMED FLEXIBLE SECTIONS:
PR_25_31_48_00.2170A    VAPOUR BARRIER PERMEANCE:
PR_25_31_48_00.2180A    BITUMEN VAPOUR BARRIER COATINGS:
PR_25_31_48_00.2180B    VINYL VAPOUR BARRIER COATINGS:
PR_25_31_48_00.2180C    SOLVENT POLYMER VAPOUR BARRIER COATINGS:
PR_25_31_48_00.2180D    BITUMEN EMULSION VAPOUR BARRIER COATINGS:
PR_25_31_48_00.2190    ADHESIVES:
PR_25_31_48_00.2200A    POLYISOBUTYLENE PROTECTION:
PR_25_31_48_00.2200B    ROOFING FELT PROTECTION:
PR_25_31_48_00.2200C    FLAT ALUMINIUM-ZINC COATED STEEL PROTECTION: 
PR_25_31_48_00.2200D    RIBBED ALUMINIUM-ZINC COATED STEEL PROTECTION: 
PR_25_31_48_00.2200E    ALUMINIUM SHEETING PROTECTION:
PR_25_31_48_00.2200I    RIGID PVC PROTECTION:
PR_25_31_48_00.2200J    LAMINATED FOIL/FILM PROTECTION:
PR_25_31_48_00.2210A    ALUMINIUM BANDS REINFORCEMENT:
PR_25_31_48_00.2230A    ALUMINIUM PROTECTION FOR HEAT EXCHANGERS AND OTHER VESSELS:
PR_25_31_48_00.2230B    ALUMINIUM PROTECTION FOR HEAT EXCHANGERS AND OTHER VESSELS - WITH CHEST AND ACCESS COVERS:
PR_25_31_48_00.2230E    MULTI-LAYER LAMINATE PROTECTION FOR HEAT EXCHANGERS AND OTHER VESSELS - WITH CHEST AND ACCESS COVERS: 
PR_25_31_48_00.2240A    MINERAL FIBRE INSULATION FOR BOILER FLUES WITH ALUMINIUM CASING:
PR_25_31_48_00.2260    PRE-INSULATED STORAGE VESSELS:
PR_25_31_48_00.2280    PUMPS AND OTHER IRREGULAR SHAPES:
PR_25_31_48_00.2285    CALCULATION OF INSULATION THICKNESS:
PR_25_31_48_00.2287    CALCULATION OF INSULATION THICKNESS - ECA ENHANCED: 
PR_25_31_48_00.3010    GENERAL:
PR_25_31_48_00.3020    INSTALLATION OF FOIL FACED MINERAL WOOL INSULATION ON PIPEWORK:
PR_25_31_48_00.3030    INSTALLATION OF FOIL FACED PHENOLIC FOAM INSULATION ON PIPEWORK:
PR_25_31_48_00.3040    INSTALLATION OF INSULATION WITH CANVAS FINISH ON PIPEWORK:
PR_25_31_48_00.3050    INSTALLATION OF CLOSED CELL NITRILE RUBBER INSULATION ON PIPEWORK:
PR_25_31_48_00.3060    INSTALLATION OF FOIL FACED SEMI-RIGID SLAB INSULATION ON DUCTWORK:
PR_25_31_48_00.3070    INSTALLATION OF FOIL FACED FLEXIBLE DUCTWORK INSULATION:
PR_25_31_48_00.3080    INSTALLATION OF FOIL FACED LAMELLA ON DUCTWORK:
PR_25_31_48_00.3090    INSTALLATION OF INSULATION ON TANKS:
PR_25_31_48_00.3100    INSTALLATION OF MINERAL WOOL INSULATION ON VESSELS:
PR_25_31_48_00.3110    INSTALLATION OF PHENOLIC FOAM INSULATION ON VESSELS:
PR_25_31_48_00.3120    INSTALLATION OF POLYISOBUTYLENE (PIB) PROTECTION:
PR_25_31_48_00.3130A    INSTALLATION OF SHEET METAL FINISH ON PIPEWORK:
PR_25_31_48_00.3140A    INSTALLATION OF SHEET METAL FINISH ON DUCTWORK, TANKS AND VESSELS:
PR_25_31_48_00.3150    INSTALLATION OF CANVAS PROTECTION:
PR_25_31_48_00.3160    INSTALLATION OF ROOFING FELT PROTECTION:
PR_25_31_48_00.3170    INSTALLATION OF ALUMINIUM SHEETING PROTECTION:
PR_25_31_48_00.3180    INSTALLATION OF ALUMINIUM-ZINC COATED STEEL PROTECTION:
PR_25_31_48_00.3190    INSTALLATION OF RIGID PVC PROTECTION:
PR_25_31_48_00.3195    INSTALLATION OF LAMINATED FOIL/FILM PROTECTION:
PR_25_31_48_00.3200    INSTALLATION OF DUCTWORK FIRE PROTECTION INSULATION:
PR_25_31_48_00.3210    FLANGES AND VALVES:
PR_25_31_48_00.3220    LINERS:
PR_25_31_48_00.3230A    INSTALLATION WHERE INSULATION IS CARRIED THROUGH PIPELINE SUPPORT:
PR_25_31_48_00.3230B    INSTALLATION WHERE CLOSED CELL INSULATION IS CARRIED THROUGH PIPELINE SUPPORT:
PR_25_31_48_00.3240    INSTALLATION WHERE INSULATION IS NOT CARRIED THROUGH PIPELINE OR DUCTLINE SUPPORT:
PR_25_31_48_00.3250    INSTALLATION WHERE INSULATION IS CARRIED THROUGH DUCTWORK SUPPORT:
PR_25_31_48_00.3260    LIQUID VAPOUR BARRIERS:
PR_25_31_48_00.3270    INTEGRITY OF VAPOUR BARRIERS:
PR_25_31_48_00.3280    WATER TANKS:
AC_60_00_00_00    TESTING AND COMMISSIONING
AC_60_00_00_00.1000    GENERAL
AC_60_00_00_00.2010    PRESSURE TESTING - GENERAL:
AC_60_00_00_00.2020    PRESSURE TESTING - WATER CIRCULATING AND SUPPLY SYSTEMS AND STEAM AND CONDENSE LINES:
AC_60_00_00_00.2030#    PRESSURE TESTING - UNDERGROUND PIPEWORK:
AC_60_00_00_00.2030A    PRESSURE TESTING - UNDERGROUND PIPEWORK, 1 HOUR:
AC_60_00_00_00.2030B    PRESSURE TESTING - UNDERGROUND PIPEWORK, 4 HOURS:
AC_60_00_00_00.2040    PRESSURE TESTING - WATER MAINS:
AC_60_00_00_00.2050    PRESSURE TESTING - FIRE RISERS:
AC_60_00_00_00.2055#    PRESSURE TESTING - REFRIGERANT PIPEWORK:
AC_60_00_00_00.2055A    PRESSURE TESTING - REFRIGERANT PIPEWORK, STRENGTH PRESSURE TEST:
AC_60_00_00_00.2055B    PRESSURE TESTING - REFRIGERANT PIPEWORK, LEAK TEST:
AC_60_00_00_00.2055C    PRESSURE TESTING - REFRIGERANT PIPEWORK, DEEP VACUUM TEST:
AC_60_00_00_00.2060B    PRESSURE TESTING - GAS PIPEWORK TO BS EN 12327:
AC_60_00_00_00.2060C    PRESSURE TESTING - GAS PIPEWORK TO IGE/UP/1:
AC_60_00_00_00.2060D    PRESSURE TESTING - GAS PIPEWORK TO IGE/UP/1A:
AC_60_00_00_00.2065    PRESSURE TESTING - OIL PIPEWORK TO BS 5410:
AC_60_00_00_00.2070    PRESSURE TESTING - PIPED MEDICAL SERVICES:
AC_60_00_00_00.2080    PRESSURE TESTING - SOIL, WASTE, VENTILATION, ANTI-SYPHON AND RAINWATER PIPEWORK:
AC_60_00_00_00.2090    PRESSURE TESTING - UNDERSLAB DRAINAGE:
AC_60_00_00_00.2100    VACUUM TESTING:
AC_60_00_00_00.2110    TESTING RECORDS:
AC_60_00_00_00.3010    CLEANING DUCTWORK SYSTEMS:
AC_60_00_00_00.3020    COMMISSIONING CODES:
AC_60_00_00_00.3030A    COMMISSIONING WATER DISTRIBUTION SYSTEMS INCLUDING BSRIA PRE-COMMISSIONING CHECKLIST:
AC_60_00_00_00.3040A    COMMISSIONING AIR DISTRIBUTION SYSTEMS INCLUDING BSRIA PRE-COMMISSIONING CHECKLIST:
AC_60_00_00_00.3040B    COMMISSIONING VAV AIR DISTRIBUTION SYSTEMS INCLUDING BSRIA PRE-COMMISSIONING CHECKLIST:
AC_60_00_00_00.3050    COMMISSIONING BOILER PLANT:
AC_60_00_00_00.3055    COMMISSIONING OF GAS PLANT AND SYSTEMS:
AC_60_00_00_00.3060    COMMISSIONING REFRIGERATING SYSTEMS:
AC_60_00_00_00.3070    COMMISSIONING AUTOMATIC CONTROL SYSTEMS:
AC_60_00_00_00.3080    COMMISSIONING PLANT ITEMS:
AC_60_00_00_00.3090A    INSTRUMENTS AND GAUGES:
AC_60_00_00_00.3100A    AIR SYSTEMS COMMISSIONING RECORDS TO BSRIA AG 3/89.3:
AC_60_00_00_00.3100B    WATER SYSTEMS COMMISSIONING RECORDS TO BSRIA AG 2/89.3:
AC_60_00_00_00.3110    BMS COMMISSIONING - CONTROL SYSTEM SPECIFICATION DETAILS REQUIRED FOR COMMISSIONING:
AC_60_00_00_00.3120    BMS COMMISSIONING - PRE-COMMISSIONING:
AC_60_00_00_00.3130A    BMS COMMISSIONING - PLANT READY FOR CONTROL SYSTEM COMMISSIONING:
AC_60_00_00_00.3140    BMS COMMISSIONING - CONTROL SYSTEM REQUIREMENTS FOR PLANT COMMISSIONING:
AC_60_00_00_00.3150    BMS COMMISSIONING:
AC_60_00_00_00.4010    SYSTEM PERFORMANCE TESTING:
AC_60_00_00_00.4015    TESTING OF RESIDENTIAL VENTILATION SYSTEMS:
AC_60_00_00_00.4020#    ENVIRONMENTAL TESTS:
AC_60_00_00_00.4020A    ENVIRONMENTAL TESTS, ARTIFICIAL LOADS:
AC_60_00_00_00.4020B    ENVIRONMENTAL TESTS, AMBIENT AIR QUALITY
AC_60_00_00_00.4030    RECORDERS:
AC_60_00_00_00.4040    TESTING TO SPECIFIED CONDITIONS:
AC_60_00_00_00.4040A    RAINWATER SYSTEMS:
AC_60_00_00_00.4040B    SANITARY SYSTEMS:
AC_60_00_00_00.4040C    COLD WATER SYSTEMS:
AC_60_00_00_00.4040D    FIRE FIGHTING SYSTEMS:
AC_60_00_00_00.4040E    HYDRAULIC SYSTEMS:
AC_60_00_00_00.4040F    MEDICAL GAS AND AIR SYSTEMS:
AC_60_00_00_00.4040G    LABORATORY AND INDUSTRIAL SYSTEMS:
AC_60_00_00_00.4040H    GAS SYSTEMS:
AC_60_00_00_00.4040I    SILENCERS AND ACOUSTIC TREATMENT:
AC_60_00_00_00.4040J    ACOUSTIC ENCLOSURES:
AC_60_00_00_00.4050    PERFORMANCE TEST RECORDS:
PR_80_77_94_00    VIBRATION ISOLATION MOUNTINGS
PR_80_77_94_00.1000    GENERAL
PR_80_77_94_00.1010    DESIGN INTENT
PR_80_77_94_00.1020    SPRING ANTI VIBRATION MOUNTINGS
PR_80_77_94_00.1030    SPRING HANGERS
PR_80_77_94_00.2010A    SYNTHETIC MATERIAL CONFIGURED MAT MOUNTINGS
PR_80_77_94_00.2010B    NATURAL RUBBER CONFIGURED MAT MOUNTINGS
PR_80_77_94_00.2010C    HIGH TEMPERATURE CONFIGURED MAT MOUNTINGS
PR_80_77_94_00.2010D    RESILIENT MAT MOUNTINGS
PR_80_77_94_00.2010E    PAD MOUNTINGS
PR_80_77_94_00.2020A    SYNTHETIC RUBBER TURRET COMPRESSION MOUNTINGS
PR_80_77_94_00.2020B    NEOPRENE TURRET COMPRESSION MOUNTINGS
PR_80_77_94_00.2030    SPRING COMPRESSION MOUNTINGS
PR_80_77_94_00.2040    CAPTIVE SPRING MOUNTINGS
PR_80_77_94_00.2050A    SYNTHETIC RUBBER HANGERS, TURRET COMPRESSION:
PR_80_77_94_00.2050B    NEOPRENE HANGERS, TURRET COMPRESSION:
PR_80_77_94_00.2060    SPRING COMPRESSION HANGERS:
PR_80_77_94_00.2070A    SYNTHETIC RUBBER HANGERS, COMBINED TURRET/SPRING COMPRESSION:
PR_80_77_94_00.2070B    NEOPRENE HANGERS, COMBINED TURRET/SPRING COMPRESSION:
PR_80_77_94_00.2080    HORIZONTALLY RESTRAINED SPRING MOUNTINGS:
PR_80_77_94_00.2090A    CONCRETE/STEEL FORMWORK INERTIA BASES:
PR_80_77_94_00.2090B    WELDED STEEL FRAME INERTIA BASES:
PR_80_77_94_00.2110A    NATURAL CORKWOOD PIPEWORK NOISE VIBRATION ISOLATION:
PR_80_77_94_00.2110B    RECONSTITUTED CORKWOOD PIPEWORK NOISE VIBRATION ISOLATION:
